Year,Violent ,Property,Unemployment,ChangeinU,lnU,ChangeinlnU,Changeinviolent,Changesqdinviolent,lnviolent,Changeinlnviolent,Changesqdinlnviolent,Changeinnonviolent,Changesqdinnonviolent,lnnonviolent,changeinlnnonviolent,changesqdinlnnonviolent
1983,538.1223619,4641.109738,9.6,-0.108333333,2.261763098,-0.011221525,-32.69890756,-10.04589439,6.288085973,-0.058990175,-0.020072441,-388.578502,-161.7516008,8.442708784,-0.080404497,-0.036294212
1984,539.9268649,4498.453263,7.508333333,-2.091666667,2.016013515,-0.245749584,1.80450301,34.50341057,6.291433695,0.003347722,0.062337897,-142.6564745,245.9220275,8.411488897,-0.031219887,0.04918461
1985,558.0639801,4666.447927,7.191666667,-0.316666667,1.972922948,-0.043090567,18.13711522,16.33261221,6.324473615,0.033039921,0.029692198,167.9946637,310.6511382,8.448153446,0.036664549,0.067884435
1986,620.1437123,4881.755326,7,-0.191666667,1.945910149,-0.027012799,62.07973224,43.94261702,6.429951245,0.10547763,0.072437709,215.3073986,47.31273486,8.493260132,0.045106686,0.008442137
1987,612.4914884,4962.962854,6.175,-0.825,1.820508883,-0.125401267,-7.652223979,-69.73195622,6.417535046,-0.0124162,-0.117893829,81.20752837,-134.0998702,8.509758191,0.016498059,-0.028608627
1988,640.5838532,5053.953558,5.491666667,-0.683333333,1.703231792,-0.117277091,28.09236486,35.74458884,6.462380031,0.044844985,0.057261185,90.99070385,9.783175476,8.527926099,0.018167908,0.001669849
1989,666.8998198,5107.143394,5.258333333,-0.233333333,1.65981412,-0.043417672,26.31596653,-1.776398334,6.502639839,0.040259808,-0.004585177,53.189836,-37.80086785,8.538395504,0.010469405,-0.007698502
1990,729.6139366,5073.063011,5.616666667,0.358333333,1.725738368,0.065924248,62.71411681,36.39815028,6.59251554,0.089875701,0.049615893,-34.08038261,-87.27021861,8.531700058,-0.006695446,-0.017164851
1991,758.1770998,5140.177301,6.85,1.233333333,1.924248652,0.198510284,28.56316324,-34.15095358,6.630916999,0.038401459,-0.051474242,67.11429013,101.1946727,8.544842852,0.013142794,0.01983824
1992,757.6662669,4903.710058,7.491666667,0.641666667,2.013791292,0.089542639,-0.510832868,-29.0739961,6.630243008,-0.000673992,-0.039075451,-236.4672438,-303.5815339,8.497747352,-0.0470955,-0.060238294
1993,747.1477672,4739.953985,6.908333333,-0.583333333,1.932728412,-0.081062879,-10.5184997,-10.00766683,6.61626298,-0.013980028,-0.013306036,-163.7560729,72.71117088,8.463782707,-0.033964645,0.013130855
1994,713.6,4660.2,6.1,-0.808333333,1.808288771,-0.124439641,-33.54776724,-23.02926754,6.570322581,-0.045940399,-0.031960371,-79.75398479,84.00208812,8.446813645,-0.016969062,0.016995583
1995,684.5,4590.5,5.591666667,-0.508333333,1.721277394,-0.087011377,-29.1,4.447767238,6.528688645,-0.041633937,0.004306462,-69.7,10.05398479,8.43174423,-0.015069415,0.001899647
1996,636.6,4451,5.408333333,-0.183333333,1.687940974,-0.03333642,-47.9,-18.8,6.456141515,-0.07254713,-0.030913193,-139.5,-69.8,8.400884069,-0.030860161,-0.015790745
1997,611,4316.3,4.941666667,-0.466666667,1.597702656,-0.090238318,-25.6,22.3,6.415096959,-0.041044556,0.031502574,-134.7,4.8,8.370153833,-0.030730236,0.000129924
